"","shortId","child.gender","child.additionalInformation","ageRegistration","ageExitsurvey","withdrawn","consent","consentnotes","usable","allcoders","coderComments.Kim","coderComments.Jessica","coderComments.Alice","nVideosExpected","nVideosFound","expectedDuration","actualDuration","exit.survey.withdrawal","exit.survey.useOfMedia","exit.survey.databraryShare","exit.survey.feedback","mood.survey.active","mood.survey.childHappy","mood.survey.rested","mood.survey.healthy","mood.survey.doingBefore","mood.survey.lastEat","mood.survey.napWakeUp","mood.survey.nextNap","mood.survey.usualNapSchedule","mood.survey.ontopofstuff","mood.survey.parentHappy","mood.survey.energetic","child.ageAtBirth","codedby_Alice","codedby_Jessica","use_coder","has_preview","videonum","calibration","duration","left","ooftime","right","stimuli","trialnum","event","concept","object","unexpectedLeft","unexpectedRight","lessExpectedLeft","outcomeLeft","outcomeRight","comparison","fracLeft","fracLessExpected","fracAbs","metric","totalLT","child.proquint"
"11","57dd71bcc0d9d70061c67bec","male","",8.843835616,8.843835616,FALSE,"yes","","yes","['Training', 'Jessica', 'Realtime']",NA,"","missing audio",25,25,405.306,405.3,FALSE,"public","yes","Sorry he fell asleep towards the end",5,7,2,6,"playing in his room",60,190,NA,"no",6,7,3,"39 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,4433,0,1567,"sbs_fall_slightly-on_next-to_shoe_c2_green_RR",1,"fall","support","shoe",FALSE,FALSE,TRUE,"slightly-on","next-to","next-to:slightly-on",0.738833333333333,0.738833333333333,0.738833333333333,0.738833333333333,6,"hazag-piban"
"12","57ddb1d7c0d9d70061c67cb4","male","",12.55890411,12.55890411,FALSE,"yes","","yes","['Training', 'Jessica', 'Realtime']",NA,"","",26,25,479.95,479.933333,FALSE,"public","yes","",5,2,1,6,"Playing outside. ",1,240,180,"yes",6,6,6,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,7635,0,9365,"sbs_fall_slightly-on_mostly-on_brush_c2_green_NN",1,"fall","support","brush",FALSE,TRUE,FALSE,"slightly-on","mostly-on","mostly-on:slightly-on",0.449117647058824,0.550882352941176,0.550882352941176,0.550882352941176,17,"tirol-fazam"
"13","57ddbde4c0d9d70061c67d1d","male","",12.5260274,12.5260274,FALSE,"yes","","yes","['Training', 'Jessica', 'Realtime']",NA,"baby laughs a lot","",25,10,173.138,173.1,FALSE,"public","yes","He made it! Good work... I didn't think he had a chance at 12 minutes. I should have watched the videos before so I knew why he was laughing ",7,6,4,7,"Playing with toys on the floor ",15,180,NA,"no",2,6,3,"38 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,1566,0,15434,"sbs_stay_near_next-to_book_c2_green_NN",1,"stay","support","book",TRUE,TRUE,TRUE,"near","next-to","near:next-to",0.0921176470588235,0.0921176470588235,0.907882352941176,0.0921176470588235,17,"pogom-ligis"
"14","57ddd64ac0d9d70060c67dd8","female","",11.80273973,11.80273973,FALSE,"yes","","yes","['Training', 'Jessica', 'Realtime']",NA,"a lot of bouncing","baby bounced up and down ",25,25,477.455,477.433333,FALSE,"private","yes","",6,7,4,7,"Cuddling with me and reading a book",5,20,75,"yes",7,7,7,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,2366,0,7801,"sbs_fall_slightly-on_near_book_c2_green_NN",1,"fall","support","book",FALSE,FALSE,TRUE,"slightly-on","near","near:slightly-on",0.232713681518639,0.232713681518639,0.767286318481361,0.232713681518639,10.167,"nisan-nisip"
"15","57de081fc0d9d70061c67e39","female","",5.950684932,5.950684932,FALSE,"yes","ADORABLE and great video quality","yes","['Training', 'Jessica', 'Realtime']",NA,"hard to tell when looking away or left","",25,25,477.433,477.433333,FALSE,"private","yes","",7,7,6,7,"playing",60,150,NA,"no",7,7,6,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,9230,0,3934,"sbs_stay_slightly-on_mostly-on_duck_c2_green_NR",1,"stay","support","duck",TRUE,FALSE,TRUE,"slightly-on","mostly-on","mostly-on:slightly-on",0.701154664235795,0.701154664235795,0.701154664235795,0.701154664235795,13.164,"nukun-damiv"
"16","57de80edc0d9d70061c67e87","female","",7.331506849,7.331506849,FALSE,"yes","delightfully chaotic bg noise, playroom","yes","['Jessica', 'Realtime']",NA,"","",25,25,477.492,477.5,FALSE,"private","yes","",6,5,7,7,"playing in jumper while I made her bottle",470,435,NA,"no",5,6,3,"39 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,5768,0,11232,"sbs_stay_mostly-on_slightly-on_tissues_c2_green_RN",1,"stay","support","tissues",FALSE,TRUE,FALSE,"mostly-on","slightly-on","mostly-on:slightly-on",0.339294117647059,0.660705882352941,0.660705882352941,0.660705882352941,17,"bomal-lazut"
"17","57df1174c0d9d70061c67ecb","male","",4.569863014,4.569863014,FALSE,"yes","","yes","['Jessica', 'Realtime']",NA,"parent is facing the camera, bad sun glare","",25,25,477.346,477.333333,FALSE,"private","no","Sorry I didn't turn around during the video - I don't feel comfortable letting my child watch ""tv"" without me watching what they're seeing (I know, I previewed it ahead, but it's my own personal policy).  I did make sure to keep my face behind him the whole time, though, so he didn't get any visual input from me, and I did stay quiet.  Hope it still works.",6,3,3,7,"playing in his bouncy seat",60,75,60,"yes",6,5,1,"27 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,0,0,17000,"sbs_toss_up_down_cup_c2_b1_RR",1,"toss","gravity","cup",TRUE,FALSE,TRUE,"up","down","down:up",0,0,1,0,17,"dodul-runiz"
"18","57e2a7e2c0d9d70061c67ef7","female","",6.345205479,6.345205479,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"","",25,25,478.084,478.066667,FALSE,"public","yes","",7,7,7,7,"nursing/playing",20,180,60,"yes",4,7,4,"37 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,6798,0,0,"sbs_same_B_A_wrench_c1_b1_NR",1,"same","control","wrench",FALSE,FALSE,NA,"B","A","A:B",1,NA,1,1,6.798,"ninoj-tulol"
"19","57e2c6a4c0d9d70060c67f5f","female","",5.950684932,5.950684932,FALSE,"yes","no child present","yes","['Jessica', 'Realtime']",NA,"","",25,24,457.453,457.433333,FALSE,"private","yes","",7,7,6,7,"laying down next to me playing with her feet",30,35,NA,"no",4,4,1,"28 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,2467,0,13897,"sbs_salience_boring_interesting_box_c1_b1_NN",1,"salience","control","box",FALSE,TRUE,FALSE,"boring","interesting","boring:interesting",0.150757760938646,0.849242239061354,0.849242239061354,0.849242239061354,16.364,"tuvur-diduz"
"20","57e31f43c0d9d70060c67fbe","female","",11.01369863,11.01369863,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"very dark/blurry","",25,25,469.77,469.733333,FALSE,"private","yes","",7,7,6,7,"Playing  with toys",60,120,240,"yes",7,7,6,"38 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,2201,0,14799,"sbs_salience_boring_interesting_wrench_c1_b1_RN",1,"salience","control","wrench",FALSE,TRUE,FALSE,"boring","interesting","boring:interesting",0.129470588235294,0.870529411764706,0.870529411764706,0.870529411764706,17,"dasoj-nahot"
"21","57e4373ac0d9d70061c68066","female","",4.602739726,4.602739726,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"","",25,25,477.529,477.5,FALSE,"scientific","yes","It was a little long for a 4 month old but it seemed to work out! Great that there is a pause button.",6,3,3,7,"At my hip outside ",10,20,NA,"no",4,5,2,"36 weeks",FALSE,TRUE,"Jessica",FALSE,1,0.874569436276569,17000,6502,0,10498,"calibration",1,"calibration",NA,NA,NA,NA,NA,NA,NA,NA,0.382470588235294,NA,0.617529411764706,0.874569436276569,17,"fuduk-lajor"
"22","57e447adc0d9d70060c680b9","male","",10.91506849,10.91506849,FALSE,"yes","child present","yes","['Jessica', 'Realtime']",NA,"","",25,25,462.612,462.566667,FALSE,"public","yes","",6,7,3,6,"playing with toys",5,20,120,"yes",5,7,3,"40 or more weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,6831,0,6903,"sbs_salience_boring_interesting_eraser_c1_b1_NN",1,"salience","control","eraser",FALSE,TRUE,FALSE,"boring","interesting","boring:interesting",0.49737876802097,0.50262123197903,0.50262123197903,0.50262123197903,13.734,"gufis-pagoz"
"23","57e531b2c0d9d70061c6818f","female","She was a Frozen Egg Transfer.",11.14520548,11.14520548,FALSE,"yes","child present (& in background)","yes","['Jessica']",NA,"","",25,25,464.12,464.1,FALSE,"scientific","yes","",5,4,5,6,"playing",15,105,45,"yes",6,6,3,"38 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,5827,0,3240,"sbs_stay_mostly-on_near_tissues_c2_green_RN",1,"stay","support","tissues",FALSE,TRUE,FALSE,"mostly-on","near","mostly-on:near",0.642660196316312,0.357339803683688,0.642660196316312,0.357339803683688,9.067,"miduk-bigab"
"24","57e55b4ec0d9d70060c681de","female","",12.72328767,12.72328767,FALSE,"yes","child present, ADORABLE example","yes","['Jessica']",NA,"","",25,25,478.792,478.8,FALSE,"private","yes","",5,7,7,7,"sleeping",60,3,180,"yes",6,7,6,"39 weeks",FALSE,TRUE,"Jessica",FALSE,1,NA,17000,9833,434,5100,"sbs_stay_slightly-on_mostly-on_tissues_c2_green_RR",1,"stay","support","tissues",TRUE,FALSE,TRUE,"slightly-on","mostly-on","mostly-on:slightly-on",0.658474519520525,0.658474519520525,0.658474519520525,0.658474519520525,14.933,"duvog-hazub"
